acteurs,box_office_url,duree,entrees,genre,realisateur,titre
"Manolo Solo,José Coronado,Ana Torrent",https://www.allocine.fr/film/fichefilm-311149/box-office/,169,,Drame,Victor Erice,Fermer les yeux
"Benicio Del Toro,Justin Timberlake,Eric Bogosian",https://www.allocine.fr/film/fichefilm_gen_cfilm=288873.html,134,,"Policier,Drame,Thriller",Grant Singer,Reptile
"Sadie Sink,Ty Simpkins",https://www.allocine.fr/film/fichefilm-289056/box-office/,Non valide,65064,Drame,,The Whale
"Cailee Spaeny,Jacob Elordi,Dagmara Dominczyk",https://www.allocine.fr/film/fichefilm-308042/box-office/,113,,"Biopic,Drame",Sofia Coppola,Priscilla
"Marina Foïs,Nicolas Lumbreras",https://www.allocine.fr/film/fichefilm-285749/box-office/,Non valide,126252,Comédie,,Barbaque
" Miou-Miou,Salim Kechiouche,Aurore Clément",https://www.allocine.fr/film/fichefilm_gen_cfilm=295300.html,90,,Policier,Gaël Morel,Constance aux enfers
"Amir El Kacem,Jean-Hugues Anglade",https://www.allocine.fr/film/fichefilm-304537/box-office/,Non valide,33469,"Aventure,Fantastique",,Gueules noires
"Zoe Saldana,Sigourney Weaver",https://www.allocine.fr/film/fichefilm-178014/box-office/,Non valide,2739848,,,Avatar : la voie de l'eau
"Aksel Hennie,Jack Doolan",https://www.allocine.fr/film/fichefilm-293633/box-office/,Non valide,44625,"Action,Guerre",,SISU - De l'Or et du Sang
"Ebla Mari,Claire Rodgerson",https://www.allocine.fr/film/fichefilm-304576/box-office/,Non valide,96295,Drame,,The Old Oak
"Vicky Krieps,Jules Langlade",https://www.allocine.fr/film/fichefilm-268283/box-office/,Non valide,24444,Drame,,De nos frères blessés
"José Coronado,Ana Torrent",https://www.allocine.fr/film/fichefilm-311149/box-office/,Non valide,14004,Drame,,Fermer les yeux
"Robert Pattinson,Zoë Kravitz,Paul Dano",https://www.allocine.fr/film/fichefilm-211012/box-office/,177,,"Action,Policier,Thriller",Matt Reeves,The Batman
"Gisela Yupa,Cleiner Yupa,Jorge Pomacanchari",https://www.allocine.fr/film/fichefilm-314917/box-office/,80,,Drame,Leonardo Barbuy La Torre,Diógenes
"Zoé De Grand Maison,Mather Zickel,Lisa LoCicero",https://www.allocine.fr/film/fichefilm_gen_cfilm=302781.html,112,,"Epouvante-horreur,Western",Michael Patrick Jann,Organ Trail
"Pierre Tessier,Chris Pratt,Jérémie Covillault",https://www.allocine.fr/film/fichefilm-234099/box-office/,92,,"Animation,Comédie,Famille","Aaron Horvath,Michael Jelenic","Super Mario Bros, le film"
"Bastien Bouillon,Bouli Lanners,Théo Cholbi",https://www.allocine.fr/film/fichefilm-295635/box-office/,114,,"Policier,Thriller",Dominik Moll,La Nuit du 12
"François-Xavier Demaison,Isabelle Gélinas,Oscar Berthe",https://www.allocine.fr/film/fichefilm_gen_cfilm=294456.html,90,,Comédie dramatique,Frédéric Berthe,À mon tour
"Jean Dujardin,Anaïs Demoustier,Sandrine Kiberlain",https://www.allocine.fr/film/fichefilm-290915/box-office/,107,,"Policier,Thriller",Cédric Jimenez,Novembre
"Adèle Exarchopoulos,Mélanie Laurent,Manon Bresch",https://www.allocine.fr/film/fichefilm_gen_cfilm=307110.html,114,,"Action,Comédie",Mélanie Laurent,Voleuses
"Harrison Ford,Phoebe Waller-Bridge,Mads Mikkelsen",https://www.allocine.fr/film/fichefilm-180899/box-office/,154,,"Action,Aventure",James Mangold,Indiana Jones et le Cadran de la Destinée
"Jacob Elordi,Dagmara Dominczyk",https://www.allocine.fr/film/fichefilm-308042/box-office/,Non valide,144773,"Biopic,Drame",,Priscilla
"Ariane Labed,Souheila Yacoub",https://www.allocine.fr/film/fichefilm-290443/box-office/,Non valide,11869,Comédie dramatique,Benoît Volnais,Avant l’effondrement
"Brigette Lundy-Paine,Carloto Cotta,Anabela Moreira",https://www.allocine.fr/film/fichefilm-314271/box-office/,92,,"Epouvante-horreur,Thriller",Gabriel Abrantes,Amelia's Children
"Taissa Farmiga,Jonas Bloquet,Storm Reid",https://www.allocine.fr/film/fichefilm-273411/box-office/,109,,Epouvante-horreur,Michael Chaves,La Nonne : La Malédiction de Sainte Lucie
"Jörg Schüttauf,Valerie Koch,Thorsten Merten",https://www.allocine.fr/film/fichefilm_gen_cfilm=326783.html,90,,Policier,Uljana Havemann,L'affaire Marianne Voss
"Jonathan Cohen,Emmanuelle Bercot,Raphaël Quenard",https://www.allocine.fr/film/fichefilm_gen_cfilm=304913.html,99,,"Comédie,Policier","Hugo Benamozig,David Caviglioli",Sentinelle
"Berkay Ateş,Taner Birsel,Sibel Kekilli",https://www.allocine.fr/film/fichefilm-292215/box-office/,114,,"Policier,Drame,Thriller",Özcan Alper,Nuit Noire en Anatolie
"Denis Braccini,Philippe Corti",https://www.allocine.fr/film/fichefilm-305550/box-office/,Non valide,101291,Comédie,,Le Clan
"Phoebe Waller-Bridge,Mads Mikkelsen",https://www.allocine.fr/film/fichefilm-180899/box-office/,Non valide,1089875,"Action,Aventure",,Indiana Jones et le Cadran de la Destinée
"Jonas Bloquet,Storm Reid",https://www.allocine.fr/film/fichefilm-273411/box-office/,Non valide,464102,Epouvante-horreur,,La Nonne : La Malédiction de Sainte Lucie
"Carloto Cotta,Anabela Moreira",https://www.allocine.fr/film/fichefilm-314271/box-office/,Non valide,57593,"Epouvante-horreur,Thriller",,Amelia's Children
"Camila Mendes,Archie Renaux,Marisa Tomei",https://www.allocine.fr/film/fichefilm_gen_cfilm=307325.html,104,,"Comédie,Romance",Carlson Young,Surclassée
"Anaïs Demoustier,Sandrine Kiberlain",https://www.allocine.fr/film/fichefilm-290915/box-office/,Non valide,592681,"Policier,Thriller",,Novembre
"Pierre Niney,Isabelle Adjani,François Cluzet",https://www.allocine.fr/film/fichefilm-289268/box-office/,134,,"Comédie,Comédie dramatique,Policier",Nicolas Bedos,Mascarade
"Harris Dickinson,Charlbi Dean Kriek,Woody Harrelson",https://www.allocine.fr/film/fichefilm-256851/box-office/,149,,"Comédie,Drame",Ruben Östlund,Sans filtre
"Mana Ashida,Yûki Kaji,Takumi Kitamura",https://www.allocine.fr/film/fichefilm-311559/box-office/,116,,"Animation,Drame,Fantastique",Keiichi Hara,Le Château Solitaire dans le Miroir
"Amandla Stenberg,Maria Bakalova,Rachel Sennott",https://www.allocine.fr/film/fichefilm-263192/box-office/,94,,"Comédie,Epouvante-horreur,Thriller",Halina Reijn,Bodies Bodies Bodies
"Alexandra Lamy,Muriel Robin,Hugo Questel",https://www.allocine.fr/film/fichefilm-287538/box-office/,99,,Drame,Lisa Azuelos,La Chambre des merveilles
"Angelina Jolie,Finn Little,Jon Bernthal",https://www.allocine.fr/film/fichefilm-271330/box-office/,100,,"Action,Aventure,Thriller",Taylor Sheridan,Ceux qui veulent ma mort
"Tom Cruise,Miles Teller,Jennifer Connelly",https://www.allocine.fr/film/fichefilm-186636/box-office/,131,,Action,Joseph Kosinski,Top Gun: Maverick
"Tobin Bell,Shawnee Smith,Synnøve Macody Lund",https://www.allocine.fr/film/fichefilm-291879/box-office/,118,,Epouvante-horreur,Kevin Greutert,Saw X
"Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult",https://www.allocine.fr/film/fichefilm-271676/box-office/,108,,Thriller,Mark Mylod,Le Menu
"Chris Pratt,Zoe Saldana,Dave Bautista",https://www.allocine.fr/film/fichefilm-246641/box-office/,150,,"Action,Fantastique,Science Fiction",James Gunn,Les Gardiens de la Galaxie 3
"Zoë Kravitz,Paul Dano",https://www.allocine.fr/film/fichefilm-211012/box-office/,Non valide,1165588,,,The Batman
"Cleiner Yupa,Jorge Pomacanchari",https://www.allocine.fr/film/fichefilm-314917/box-office/,Non valide,277,Drame,,Diógenes
"Taner Birsel,Sibel Kekilli",https://www.allocine.fr/film/fichefilm-292215/box-office/,Non valide,2115,,,Nuit Noire en Anatolie
"Bouli Lanners,Théo Cholbi",https://www.allocine.fr/film/fichefilm-295635/box-office/,Non valide,96667,"Policier,Thriller",,La Nuit du 12
"Chris Pratt,Jérémie Covillault",https://www.allocine.fr/film/fichefilm-234099/box-office/,Non valide,1866914,,Michael Jelenic,"Super Mario Bros, le film"
"Nadia Tereszkiewicz,Rebecca Marder,Isabelle Huppert",https://www.allocine.fr/film/fichefilm-304685/box-office/,103,,"Comédie,Comédie dramatique,Policier",François Ozon,Mon Crime
"Alex Lutz,Karin Viard,Jérôme Pouly",https://www.allocine.fr/film/fichefilm-305883/box-office/,90,,"Drame,Romance",Alex Lutz,Une nuit
"Vin Diesel,Michelle Rodriguez,Jason Momoa",https://www.allocine.fr/film/fichefilm-242871/box-office/,141,,Action,Louis Leterrier,Fast & Furious X
"Miles Teller,Jennifer Connelly",https://www.allocine.fr/film/fichefilm-186636/box-office/,Non valide,1529608,Action,,Top Gun: Maverick
"Shawnee Smith,Synnøve Macody Lund",https://www.allocine.fr/film/fichefilm-291879/box-office/,Non valide,315046,Epouvante-horreur,,Saw X
"Finn Little,Jon Bernthal",https://www.allocine.fr/film/fichefilm-271330/box-office/,Non valide,,,,Ceux qui veulent ma mort
"Michelle Rodriguez,Jason Momoa",https://www.allocine.fr/film/fichefilm-242871/box-office/,Non valide,1140846,Action,,Fast & Furious X
