acteurs,box_office_url,duree,entrees,genre,realisateur,titre
"Raphaël Personnaz,Doria Tillier,Jeanne Balibar",https://www.allocine.fr/film/fichefilm-286292/box-office/,120,,Biopic,Anne Fontaine,Bolero
"Vincent Lindon,Karole Rocher,Stefan Virgil Stoica",https://www.allocine.fr/film/fichefilm-313397/box-office/,102,,Drame,Nicolas Boukhrief,Comme un fils
"Maxime Gasteuil,Zabou Breitman,Romain Lancry",https://www.allocine.fr/film/fichefilm-316137/box-office/,96,,Comédie,Edouard Pluvieux,14 jours pour aller mieux
"Olivia Colman,Jessie Buckley,Anjana Vasan",https://www.allocine.fr/film/fichefilm-304573/box-office/,100,,"Comédie,Policier,Drame",Thea Sharrock,Scandaleusement vôtre
"Guillaume Canet,Alba Rohrwacher,Sharif Andoura",https://www.allocine.fr/film/fichefilm-309546/box-office/,106,,"Comédie,Comédie dramatique,Drame",Stéphane Brizé,Hors-saison
"Agnès Jaoui,William Lebghil,Salif Cissé",https://www.allocine.fr/film/fichefilm-310110/box-office/,103,,Comédie dramatique,Julien Carpentier,La Vie de ma mère
"Jasmine Trinca,Leïla Bekhti,Rafaëlle Sonneville-Caby",https://www.allocine.fr/film/fichefilm-289562/box-office/,99,,"Drame,Historique",Léa Todorov,La Nouvelle femme
"Christian Clavier,Marianne Denicourt,Didier Bourdon",https://www.allocine.fr/film/fichefilm-303455/box-office/,91,,Comédie,Julien Hervé,Cocorico
"Karin Viard,Ana Girardot,Cédric Kahn",https://www.allocine.fr/film/fichefilm-288971/box-office/,92,,"Drame,Historique",Isabelle Brocard,Madame de Sévigné
"Audrey Lamy,Fabrice Eboué,Anouk Grinberg",https://www.allocine.fr/film/fichefilm-316138/box-office/,103,,Comédie,"Maxime Govare,Romain Choay",Heureux gagnants
"Blanche Gardin,Michel Houellebecq,Luc Schwarz",https://www.allocine.fr/film/fichefilm-307806/box-office/,88,,Comédie,Guillaume Nicloux,Dans la peau de Blanche Houellebecq
"Sandra Hüller,Milo Machado-Graner,Swann Arlaud",https://www.allocine.fr/film/fichefilm-297303/box-office/,151,,"Policier,Drame,Judiciaire",Justine Triet,Anatomie d’une chute
"Franck Dubosc,Reem Kherici,Philippe Lacheau",https://www.allocine.fr/film/fichefilm-300795/box-office/,86,,"Aventure,Animation,Comédie",Reem Kherici,Chien et Chat
"Sydney Sweeney,Glen Powell,Alexandra Shipp",https://www.allocine.fr/film/fichefilm-187945/box-office/,104,,"Comédie,Romance",Will Gluck,Tout sauf toi
"Louise Bourgoin,Xavier Lacaille,Francesco Montanari",https://www.allocine.fr/film/fichefilm-323931/box-office/,91,,Comédie,Émilie Noblet,Bis Repetita
"Kev Adams,Jean Reno,Daniel Prévost",https://www.allocine.fr/film/fichefilm-313914/box-office/,102,,Comédie,Claude Zidi Jr.,Maison de retraite 2
"Talia Ryder,Simon Rex,Earl Cave",https://www.allocine.fr/film/fichefilm-315401/box-office/,104,,"Comédie,Drame",Sean Price Williams,The Sweet East
"DeWanda Wise,Tom Payne (II),Taegen Burns",https://www.allocine.fr/film/fichefilm-313712/box-office/,105,,"Epouvante-horreur,Thriller",Jeff Wadlow,Imaginary
"Millie Bobby Brown,Robin Wright,Angela Bassett",https://www.allocine.fr/film/fichefilm_gen_cfilm=288025.html,107,,"Action,Aventure,Fantastique",Juan Carlos Fresnadillo,La Demoiselle et le Dragon
"Jake Gyllenhaal,Conor McGregor,Daniela Melchior",https://www.allocine.fr/film/fichefilm_gen_cfilm=225486.html,114,,"Action,Drame,Thriller",Doug Liman,Road House
"Andrew Scott,Paul Mescal,Jamie Bell",https://www.allocine.fr/film/fichefilm-305976/box-office/,105,,"Drame,Romance",Andrew Haigh,Sans jamais nous connaître
"Cillian Murphy,Emily Blunt,Matt Damon",https://www.allocine.fr/film/fichefilm-296168/box-office/,181,,"Biopic,Historique,Thriller",Christopher Nolan,Oppenheimer
"Dakota Johnson,Sydney Sweeney,Isabela Merced",https://www.allocine.fr/film/fichefilm-277610/box-office/,117,,"Action,Fantastique",S.J. Clarkson,Madame Web
"Sydney Sweeney,Álvaro Morte,Simona Tabasco",https://www.allocine.fr/film/fichefilm-313597/box-office/,89,,"Epouvante-horreur,Thriller",Michael Mohan,Immaculée
"Xavier Lacaille,Francesco Montanari",https://www.allocine.fr/film/fichefilm-323931/box-office/,Non valide,54009,Comédie,,Bis Repetita
"Glen Powell,Alexandra Shipp",https://www.allocine.fr/film/fichefilm-187945/box-office/,Non valide,99314,"Comédie,Romance",,Tout sauf toi
"Reem Kherici,Philippe Lacheau",https://www.allocine.fr/film/fichefilm-300795/box-office/,Non valide,314952,,,Chien et Chat
"Milo Machado-Graner,Swann Arlaud",https://www.allocine.fr/film/fichefilm-297303/box-office/,Non valide,346499,,,Anatomie d’une chute
"Emma Stone,Mark Ruffalo,Willem Dafoe",https://www.allocine.fr/film/fichefilm-290065/box-office/,141,,"Comédie,Drame,Fantastique",Yorgos Lanthimos,Pauvres Créatures
"Alexandra Lamy,Félix Moati,Sofian Khammes",https://www.allocine.fr/film/fichefilm_gen_cfilm=314138.html,124,,Drame,Edouard Bergeon,La Promesse verte
"Fanny Ardant,Mathieu Kassovitz,Laetitia Dosch",https://www.allocine.fr/film/fichefilm-308796/box-office/,116,,"Comédie dramatique,Policier",Thierry Klifa,Les Rois de la Piste
"Ana Girardot,Cédric Kahn",https://www.allocine.fr/film/fichefilm-288971/box-office/,Non valide,112650,"Drame,Historique",,Madame de Sévigné
"Michel Houellebecq,Luc Schwarz",https://www.allocine.fr/film/fichefilm-307806/box-office/,Non valide,12482,Comédie,,Dans la peau de Blanche Houellebecq
"Fabrice Eboué,Anouk Grinberg",https://www.allocine.fr/film/fichefilm-316138/box-office/,Non valide,136628,Comédie,Romain Choay,Heureux gagnants
"Marianne Denicourt,Didier Bourdon",https://www.allocine.fr/film/fichefilm-303455/box-office/,Non valide,584706,Comédie,,Cocorico
"Alba Rohrwacher,Sharif Andoura",https://www.allocine.fr/film/fichefilm-309546/box-office/,Non valide,114495,,,Hors-saison
"Leïla Bekhti,Rafaëlle Sonneville-Caby",https://www.allocine.fr/film/fichefilm-289562/box-office/,Non valide,51632,"Drame,Historique",,La Nouvelle femme
"William Lebghil,Salif Cissé",https://www.allocine.fr/film/fichefilm-310110/box-office/,Non valide,58613,Comédie dramatique,,La Vie de ma mère
"Jessie Buckley,Anjana Vasan",https://www.allocine.fr/film/fichefilm-304573/box-office/,Non valide,51921,,,Scandaleusement vôtre
"Álvaro Morte,Simona Tabasco",https://www.allocine.fr/film/fichefilm-313597/box-office/,Non valide,129796,"Epouvante-horreur,Thriller",,Immaculée
"Sydney Sweeney,Isabela Merced",https://www.allocine.fr/film/fichefilm-277610/box-office/,Non valide,207894,"Action,Fantastique",,Madame Web
"Emily Blunt,Matt Damon",https://www.allocine.fr/film/fichefilm-296168/box-office/,Non valide,1138907,,,Oppenheimer
"Zabou Breitman,Romain Lancry",https://www.allocine.fr/film/fichefilm-316137/box-office/,Non valide,126678,Comédie,,14 jours pour aller mieux
"Simon Rex,Earl Cave",https://www.allocine.fr/film/fichefilm-315401/box-office/,Non valide,5733,"Comédie,Drame",,The Sweet East
"Jean Reno,Daniel Prévost",https://www.allocine.fr/film/fichefilm-313914/box-office/,Non valide,526067,Comédie,,Maison de retraite 2
"Paul Mescal,Jamie Bell",https://www.allocine.fr/film/fichefilm-305976/box-office/,Non valide,74540,"Drame,Romance",,Sans jamais nous connaître
"Tom Payne (II),Taegen Burns",https://www.allocine.fr/film/fichefilm-313712/box-office/,Non valide,89440,"Epouvante-horreur,Thriller",,Imaginary
"Karole Rocher,Stefan Virgil Stoica",https://www.allocine.fr/film/fichefilm-313397/box-office/,Non valide,55026,Drame,,Comme un fils
"Doria Tillier,Jeanne Balibar",https://www.allocine.fr/film/fichefilm-286292/box-office/,Non valide,177724,Biopic,,Bolero
"Lyna Khoudri,Anamaria Vartolomei,Camille Cottin",https://www.allocine.fr/film/fichefilm-298872/box-office/,110,,"Comédie,Comédie dramatique,Drame",Bruno Dumont,L'Empire
"Aaricia Dubois,Wang Tingwen,Su Xin",https://www.allocine.fr/film/fichefilm-313044/box-office/,112,,"Aventure,Animation,Fantastique",Tian Xiaopeng,Le Royaume des abysses
"Anaïs Demoustier,Gilles Lellouche,Edouard Baer",https://www.allocine.fr/film/fichefilm-310162/box-office/,78,,"Comédie,Comédie dramatique,Drame",Quentin Dupieux,Daaaaaali !
"Charlotte Gainsbourg,Mathieu Kassovitz,Pierre Arditi",https://www.allocine.fr/film/fichefilm-285799/box-office/,139,,"Drame,Judiciaire",Yvan Attal,Les Choses humaines
"Jack Lowden,Simon Russell Beale,Thom Ashley",https://www.allocine.fr/film/fichefilm-287673/box-office/,138,,"Biopic,Drame,Historique",Terence Davies,Les Carnets de Siegfried
"Sara Montpetit,Félix-Antoine Bénard,Steve Laplante",https://www.allocine.fr/film/fichefilm-318596/box-office/,90,,"Comédie,Epouvante-horreur",Ariane Louis-Seize,Vampire humaniste cherche suicidaire consentant
"Mathieu Kassovitz,Laetitia Dosch",https://www.allocine.fr/film/fichefilm-308796/box-office/,Non valide,38177,"Comédie dramatique,Policier",,Les Rois de la Piste
"Lumi Pollack,Emily Bett Rickards,Wayne Charles Baker",https://www.allocine.fr/film/fichefilm-295617/box-office/,100,,"Aventure,Famille",Gilles de Maistre,Le Dernier Jaguar
"Michèle Laroque,Claudia Tagbo,David Mora",https://www.allocine.fr/film/fichefilm-311631/box-office/,89,,Comédie,Stéphane Ben Lahcene,Karaoké
"Patrick Timsit,Valérie Bonneton,Saaden Sada Balius",https://www.allocine.fr/film/fichefilm-317900/box-office/,89,,Comédie dramatique,Philippe Pollet-Villard,Tombés du camion
"Mark Ruffalo,Willem Dafoe",https://www.allocine.fr/film/fichefilm-290065/box-office/,Non valide,186568,,,Pauvres Créatures
"Nina Melo,Han Chang,Wu Ke-Xi",https://www.allocine.fr/film/fichefilm-279212/box-office/,109,,"Drame,Romance",Abderrahmane Sissako,Black Tea
"François Civil,Shaïn Boumedine,Bakary Kebe",https://www.allocine.fr/film/fichefilm_gen_cfilm=306254.html,92,,Drame,Teddy Lussi-Modeste,Pas de vagues
"Christian Friedel,Sandra Hüller,Johann Karthaus",https://www.allocine.fr/film/fichefilm-266159/box-office/,105,,"Drame,Historique,Guerre",Jonathan Glazer,La Zone d'intérêt
"Kingsley Ben-Adir,Lashana Lynch,James Norton",https://www.allocine.fr/film/fichefilm-290882/box-office/,107,,"Biopic,Drame",Reinaldo Marcus Green,Bob Marley: One Love
"Timothée Chalamet, Zendaya,Rebecca Ferguson",https://www.allocine.fr/film/fichefilm-278742/box-office/,166,,"Drame,Science Fiction",Denis Villeneuve,Dune : Deuxième Partie
"Manu Payet,Jack Black, Awkwafina",https://www.allocine.fr/film/fichefilm-306226/box-office/,94,,"Aventure,Animation,Comédie","Mike Mitchell (V),Stephanie Stine",Kung Fu Panda 4
"Timothée Chalamet,Rebecca Ferguson,Oscar Isaac",https://www.allocine.fr/film/fichefilm-133392/box-office/,156,,"Drame,Science Fiction",Denis Villeneuve,Dune
"Claudia Tagbo,David Mora",https://www.allocine.fr/film/fichefilm-311631/box-office/,Non valide,116784,Comédie,,Karaoké
"Félix-Antoine Bénard,Steve Laplante",https://www.allocine.fr/film/fichefilm-318596/box-office/,Non valide,7945,"Comédie,Epouvante-horreur",,Vampire humaniste cherche suicidaire consentant
"Simon Russell Beale,Thom Ashley",https://www.allocine.fr/film/fichefilm-287673/box-office/,Non valide,9584,,,Les Carnets de Siegfried
"Emily Bett Rickards,Wayne Charles Baker",https://www.allocine.fr/film/fichefilm-295617/box-office/,Non valide,222380,"Aventure,Famille",,Le Dernier Jaguar
"Paul Hamy,Suliane Brahim,Françoise Lebrun",https://www.allocine.fr/film/fichefilm-296072/box-office/,82,,"Drame,Thriller",Gallien Guibert,Rien ni personne
"Yûki Yamada,Shôtarô Mamiya,Amane Okayama",https://www.allocine.fr/film/fichefilm-312091/box-office/,120,,"Animation,Drame",Yuzuru Tachikawa,Blue Giant
"Gáspár Adonyi-Walsh,Istvan Znamenak,András Rusznák",https://www.allocine.fr/film/fichefilm_gen_cfilm=311654.html,127,,Drame,Gábor Reisz,L'Affaire Abel Trem
"Matthew McConaughey,Hugh Grant,Charlie Hunnam",https://www.allocine.fr/film/fichefilm-264538/box-office/,113,,"Action,Policier",Guy Ritchie,The Gentlemen
"Alicia Vikander,Jude Law,Eddie Marsan",https://www.allocine.fr/film/fichefilm_gen_cfilm=294377.html,120,,"Drame,Historique",Karim Aïnouz,Le Jeu de la reine
"Dany Boon,Jérôme Commandeur,Claire Chust",https://www.allocine.fr/film/fichefilm-310119/box-office/,100,,Comédie,Fred Cavayé,Les Chèvres !
"Kev Adams,Gérard Depardieu,Daniel Prévost",https://www.allocine.fr/film/fichefilm-285300/box-office/,97,,Comédie,Thomas Gilou,Maison de Retraite
"Cillian Murphy,Sally Hawkins,Raffey Cassidy",https://www.allocine.fr/film/fichefilm-316881/box-office/,84,,"Aventure,Animation","Neil Boyle,Kirk Hendry",Le Royaume de Kensuke
"Jack Black, Awkwafina",https://www.allocine.fr/film/fichefilm-306226/box-office/,Non valide,,,Stephanie Stine,Kung Fu Panda 4
"Romain Duris,Paul Kircher,Adèle Exarchopoulos",https://www.allocine.fr/film/fichefilm-300678/box-office/,130,,"Aventure,Drame,Fantastique",Thomas Cailley,Le Règne animal
"Sandra Hüller,Johann Karthaus",https://www.allocine.fr/film/fichefilm-266159/box-office/,Non valide,239108,,,La Zone d'intérêt
"Lashana Lynch,James Norton",https://www.allocine.fr/film/fichefilm-290882/box-office/,Non valide,772865,"Biopic,Drame",,Bob Marley: One Love
" Zendaya,Rebecca Ferguson",https://www.allocine.fr/film/fichefilm-278742/box-office/,Non valide,1383999,"Drame,Science Fiction",,Dune : Deuxième Partie
"Han Chang,Wu Ke-Xi",https://www.allocine.fr/film/fichefilm-279212/box-office/,Non valide,36556,"Drame,Romance",,Black Tea
"Rebecca Ferguson,Oscar Isaac",https://www.allocine.fr/film/fichefilm-133392/box-office/,Non valide,1030687,"Drame,Science Fiction",,Dune
"Valérie Bonneton,Saaden Sada Balius",https://www.allocine.fr/film/fichefilm-317900/box-office/,Non valide,78789,Comédie dramatique,,Tombés du camion
"Mouna Hawa,Seleena Rababah,Haitham Omari",https://www.allocine.fr/film/fichefilm-315328/box-office/,113,,Drame,Amjad Al Rasheed,Inchallah un fils
"Bahman Ark,Arghavan Shabani,Servin Zabetiyan",https://www.allocine.fr/film/fichefilm-315232/box-office/,77,,"Comédie,Drame","Ali Asgari,Alireza Khatami",Chroniques de Téhéran
"Jérôme Commandeur,Claire Chust",https://www.allocine.fr/film/fichefilm-310119/box-office/,Non valide,108258,Comédie,,Les Chèvres !
"Shôtarô Mamiya,Amane Okayama",https://www.allocine.fr/film/fichefilm-312091/box-office/,Non valide,10174,"Animation,Drame",,Blue Giant
"Gérard Depardieu,Daniel Prévost",https://www.allocine.fr/film/fichefilm-285300/box-office/,Non valide,663787,Comédie,,Maison de Retraite
"Hugh Grant,Charlie Hunnam",https://www.allocine.fr/film/fichefilm-264538/box-office/,Non valide,238040,"Action,Policier",,The Gentlemen
"Pierre Niney,Lou de Laâge,André Dussollier",https://www.allocine.fr/film/fichefilm-274204/box-office/,130,,"Drame,Thriller",Yann Gozlan,Boîte noire
"Daniel Elias,Esteban Bigliardi,Margarita Molfino",https://www.allocine.fr/film/fichefilm_gen_cfilm=281262.html,190,,"Drame,Thriller",Rodrigo Moreno,Los delincuentes
"Tae-ri Kim,Byung-Hee Yoon,Chan-hyung Kim",https://www.allocine.fr/film/fichefilm_gen_cfilm=306825.html,143,,"Action,Fantastique,Science Fiction",Choi Dong-hoon,Alienoid - Les Protecteurs du futur
"Birane Ba,Leïla Bekhti,Dali Benssalah",https://www.allocine.fr/film/fichefilm-299938/box-office/,118,,Drame,Jeanne Herry,Je verrai toujours vos visages
"Iván Cáceres,Cesar Herrera,Paulina García",https://www.allocine.fr/film/fichefilm-294329/box-office/,85,,Drame,Claudia Huaiquimilla,Mis Hermanos
"Viggo Mortensen,Chiara Mastroianni,Alaina Clifford",https://www.allocine.fr/film/fichefilm-270129/box-office/,147,,Drame,Lisandro Alonso,Eureka
"Alice Isaaz,Roschdy Zem,Vincent Elbaz",https://www.allocine.fr/film/fichefilm-317950/box-office/,83,,Drame,Alix Delaporte,Vivants
"Arghavan Shabani,Servin Zabetiyan",https://www.allocine.fr/film/fichefilm-315232/box-office/,Non valide,33572,"Comédie,Drame",Alireza Khatami,Chroniques de Téhéran
"Adam Sandler,Carey Mulligan,Paul Dano",https://www.allocine.fr/film/fichefilm_gen_cfilm=287477.html,107,,"Drame,Science Fiction,Thriller",Johan Renck,Spaceman
"Anthony Bajon,Raphaël Quenard,Galatea Bellugi",https://www.allocine.fr/film/fichefilm-279636/box-office/,93,,Comédie dramatique,Jean-Baptiste Durand,Chien de la casse
"Halle Berry,Patrick Wilson,John Bradley (II)",https://www.allocine.fr/film/fichefilm-248437/box-office/,120,,"Action,Science Fiction",Roland Emmerich,Moonfall
"Seleena Rababah,Haitham Omari",https://www.allocine.fr/film/fichefilm-315328/box-office/,Non valide,14474,Drame,,Inchallah un fils
"Paul Kircher,Adèle Exarchopoulos",https://www.allocine.fr/film/fichefilm-300678/box-office/,Non valide,224476,,,Le Règne animal
"Sally Hawkins,Raffey Cassidy",https://www.allocine.fr/film/fichefilm-316881/box-office/,Non valide,72554,"Aventure,Animation",Kirk Hendry,Le Royaume de Kensuke
"Raphaël Quenard,Pio Marmaï,Blanche Gardin",https://www.allocine.fr/film/fichefilm-315119/box-office/,67,,Comédie,Quentin Dupieux,Yannick
"Yu-mi Jeong,Sun-kyun Lee,Kim Kum-Soon",https://www.allocine.fr/film/fichefilm-315325/box-office/,95,,"Epouvante-horreur,Thriller",Jason Yu,Sleep
"Bryce Dallas Howard,Sam Rockwell,Henry Cavill",https://www.allocine.fr/film/fichefilm-294414/box-office/,140,,"Action,Espionnage,Thriller",Matthew Vaughn,Argylle
"Jeanne Balibar,Thomas Sarbacher,Pierre-Antoine Dubey",https://www.allocine.fr/film/fichefilm-287638/box-office/,93,,"Drame,Romance",Maxime Rappaz,Laissez-moi
"Grégory Gadebois,Géraldine Nakache,Lyes Salem",https://www.allocine.fr/film/fichefilm_gen_cfilm=299482.html,93,,Drame,Ronan Tronchot,Paternel
"Kamila Urzedowska,Nadia Tereszkiewicz,Robert Gulaczyk",https://www.allocine.fr/film/fichefilm-287662/box-office/,114,,Drame,"DK Welchman,Hugh Welchman",La Jeune fille et les paysans
"Lou de Laâge,André Dussollier",https://www.allocine.fr/film/fichefilm-274204/box-office/,Non valide,292081,"Drame,Thriller",,Boîte noire
"Chiara Mastroianni,Alaina Clifford",https://www.allocine.fr/film/fichefilm-270129/box-office/,Non valide,5318,Drame,,Eureka
"Patrick Wilson,John Bradley (II)",https://www.allocine.fr/film/fichefilm-248437/box-office/,Non valide,207212,"Action,Science Fiction",,Moonfall
"Raphaël Quenard,Galatea Bellugi",https://www.allocine.fr/film/fichefilm-279636/box-office/,Non valide,20877,Comédie dramatique,,Chien de la casse
"Leïla Bekhti,Dali Benssalah",https://www.allocine.fr/film/fichefilm-299938/box-office/,Non valide,282292,Drame,,Je verrai toujours vos visages
"Roschdy Zem,Vincent Elbaz",https://www.allocine.fr/film/fichefilm-317950/box-office/,Non valide,52962,Drame,,Vivants
"Cesar Herrera,Paulina García",https://www.allocine.fr/film/fichefilm-294329/box-office/,Non valide,4110,Drame,,Mis Hermanos
"Anamaria Vartolomei,Kacey Mottet Klein,Luàna Bajrami",https://www.allocine.fr/film/fichefilm-275122/box-office/,100,,Drame,Audrey Diwan,L'Evénement
"Cristiana Dell'Anna,John Lithgow,David Morse",https://www.allocine.fr/film/fichefilm-291861/box-office/,145,,"Biopic,Drame",Alejandro Monteverde,Cabrini
"Léa Seydoux,George MacKay,Guslagie Malanda",https://www.allocine.fr/film/fichefilm-289724/box-office/,146,,"Drame,Romance,Science Fiction",Bertrand Bonello,La Bête
"Charlotte Gainsbourg,Quito Rayon Richter,Noée Abita",https://www.allocine.fr/film/fichefilm-284676/box-office/,111,,Drame,Mikhaël Hers,Les Passagers de la nuit
"Pierre Niney,Blanche Gardin,Frankie Wallach",https://www.allocine.fr/film/fichefilm-297560/box-office/,102,,"Comédie,Comédie dramatique,Drame",Michel Gondry,Le Livre des solutions
"Timothée Chalamet,Calah Lane,Keegan-Michael Key",https://www.allocine.fr/film/fichefilm-251105/box-office/,117,,"Aventure,Famille,Fantastique",Paul King,Wonka
"Adam Driver,Penélope Cruz,Shailene Woodley",https://www.allocine.fr/film/fichefilm-237130/box-office/,130,,"Biopic,Drame",Michael Mann,Ferrari
"André Dussollier,Stephen Fry,Marion Cotillard",https://www.allocine.fr/film/fichefilm-284744/box-office/,97,,"Aventure,Animation,Famille","Jim Capobianco,Pierre-Luc Granjon","Léo, la fabuleuse histoire de Léonard de Vinci"
"Thomas Sarbacher,Pierre-Antoine Dubey",https://www.allocine.fr/film/fichefilm-287638/box-office/,Non valide,11013,"Drame,Romance",,Laissez-moi
"Nadia Tereszkiewicz,Robert Gulaczyk",https://www.allocine.fr/film/fichefilm-287662/box-office/,Non valide,16136,Drame,Hugh Welchman,La Jeune fille et les paysans
"Pio Marmaï,Blanche Gardin",https://www.allocine.fr/film/fichefilm-315119/box-office/,Non valide,130879,Comédie,,Yannick
"Sun-kyun Lee,Kim Kum-Soon",https://www.allocine.fr/film/fichefilm-315325/box-office/,Non valide,48796,"Epouvante-horreur,Thriller",,Sleep
"Sam Rockwell,Henry Cavill",https://www.allocine.fr/film/fichefilm-294414/box-office/,Non valide,219098,,,Argylle
"Reina Ueda,Koji Yakusho,Tokio Emoto",https://www.allocine.fr/film/fichefilm-314885/box-office/,125,,"Comédie,Drame",Wim Wenders,Perfect Days
"Kenneth Branagh,Tina Fey,Camille Cottin",https://www.allocine.fr/film/fichefilm-302417/box-office/,104,,"Policier,Drame,Thriller",Kenneth Branagh,Mystère à Venise
"Zafreen Zairizal,Deena Ezral, Piqa",https://www.allocine.fr/film/fichefilm-314929/box-office/,95,,"Drame,Fantastique,Epouvante-horreur",Amanda Nell Eu,Tiger Stripes
"Charlotte De Bruyne,Rosa Marchant,Amber Metdepenningen",https://www.allocine.fr/film/fichefilm-295360/box-office/,111,,Drame,Veerle Baetens,Débâcle
"Stephen Fry,Marion Cotillard",https://www.allocine.fr/film/fichefilm-284744/box-office/,Non valide,87482,,Pierre-Luc Granjon,"Léo, la fabuleuse histoire de Léonard de Vinci"
"Penélope Cruz,Shailene Woodley",https://www.allocine.fr/film/fichefilm-237130/box-office/,Non valide,,"Biopic,Drame",,Ferrari
"John Lithgow,David Morse",https://www.allocine.fr/film/fichefilm-291861/box-office/,Non valide,1062,"Biopic,Drame",,Cabrini
"Calah Lane,Keegan-Michael Key",https://www.allocine.fr/film/fichefilm-251105/box-office/,Non valide,787846,,,Wonka
"Kacey Mottet Klein,Luàna Bajrami",https://www.allocine.fr/film/fichefilm-275122/box-office/,Non valide,62150,Drame,,L'Evénement
"Blanche Gardin,Frankie Wallach",https://www.allocine.fr/film/fichefilm-297560/box-office/,Non valide,188920,,,Le Livre des solutions
"Quito Rayon Richter,Noée Abita",https://www.allocine.fr/film/fichefilm-284676/box-office/,Non valide,78880,Drame,,Les Passagers de la nuit
"George MacKay,Guslagie Malanda",https://www.allocine.fr/film/fichefilm-289724/box-office/,Non valide,40476,,,La Bête
"Valeria Bruni Tedeschi,Yona Rozenkier,Germaine Unikovsky",https://www.allocine.fr/film/fichefilm-271839/box-office/,101,,Drame,Yossi Aviram,Il n'y a pas d'ombre dans le désert
"Vincent Elbaz,Nicolas Marié,Mariama Gueye",https://www.allocine.fr/film/fichefilm_gen_cfilm=298551.html,90,,Drame,Hélène Angel,Tout le monde ment
"Leonardo DiCaprio,Lily Gladstone,Robert De Niro",https://www.allocine.fr/film/fichefilm-245813/box-office/,206,,"Drame,Historique,Thriller",Martin Scorsese,Killers of the Flower Moon
"Mia Maelzer,Fotinì Peluso,Kim Raver",https://www.allocine.fr/film/fichefilm-263739/box-office/,121,,"Comédie,Comédie dramatique,Drame",Laetitia Colombani,La Tresse
"Margot Robbie,Ryan Gosling,America Ferrera",https://www.allocine.fr/film/fichefilm-173087/box-office/,115,,"Aventure,Comédie,Famille",Greta Gerwig,Barbie
"Alexander Lincoln,Alexander King,Christopher Sherwood",https://www.allocine.fr/film/fichefilm-305756/box-office/,134,,"Drame,Romance",Matt Carter (II),Dans la mêlée
"Deena Ezral, Piqa",https://www.allocine.fr/film/fichefilm-314929/box-office/,Non valide,2091,,,Tiger Stripes
"Arthur Dupont,Charlie Bruneau,Caroline Anglade",https://www.allocine.fr/film/fichefilm_gen_cfilm=317041.html,90,,Drame,"Didier Le Pêcheur,Jérôme Cornuau",La vie rêvée des autres
"Rosa Marchant,Amber Metdepenningen",https://www.allocine.fr/film/fichefilm-295360/box-office/,Non valide,4156,Drame,,Débâcle
"Koji Yakusho,Tokio Emoto",https://www.allocine.fr/film/fichefilm-314885/box-office/,Non valide,103232,"Comédie,Drame",,Perfect Days
"Tina Fey,Camille Cottin",https://www.allocine.fr/film/fichefilm-302417/box-office/,Non valide,250148,,,Mystère à Venise
"Ella Rumpf,Jean-Pierre Darroussin,Clotilde Courau",https://www.allocine.fr/film/fichefilm-302382/box-office/,114,,"Comédie,Comédie dramatique,Drame",Anna Novion,Le Théorème de Marguerite
"Camille Cottin,Léa Lopez,Thomas Gioria",https://www.allocine.fr/film/fichefilm-305325/box-office/,96,,"Comédie,Comédie dramatique,Drame",Nathan Ambrosioni,Toni en famille
"Didier Bourdon,Eric Fraticelli,Philippe Corti",https://www.allocine.fr/film/fichefilm-316739/box-office/,92,,Comédie,Eric Fraticelli,Inestimable
"Catherine Deneuve,Andrea Riseborough,Morgan Saylor",https://www.allocine.fr/film/fichefilm-308841/box-office/,93,,Comédie dramatique,"Hanna Ladoul,Marco La Via",Au fil des saisons
"Alice Pol,Shirine Boutella,Natacha Lindinger",https://www.allocine.fr/film/fichefilm_gen_cfilm=317377.html,Non valide,,,Adeline Picault,Sirènes
"Lily Gladstone,Robert De Niro",https://www.allocine.fr/film/fichefilm-245813/box-office/,Non valide,418140,,,Killers of the Flower Moon
"Océane Demontis,Ariana DeBose,Lambert Wilson",https://www.allocine.fr/film/fichefilm-279124/box-office/,102,,"Aventure,Animation,Famille","Chris Buck,Fawn Veerasunthorn",Wish - Asha et la bonne étoile
"Virginie Efira,Melvil Poupaud,Dominique Reymond",https://www.allocine.fr/film/fichefilm-301066/box-office/,105,,"Drame,Thriller",Valérie Donzelli,L'Amour et les Forêts
"Sandra Bullock,Channing Tatum,Daniel Radcliffe",https://www.allocine.fr/film/fichefilm-287082/box-office/,112,,"Action,Aventure,Comédie","Aaron Nee,Adam Nee",Le Secret de la cité perdue
"Julia Roberts,Mahershala Ali,Ethan Hawke",https://www.allocine.fr/film/fichefilm_gen_cfilm=285315.html,138,,"Drame,Thriller",Sam Esmail,Le Monde après nous
"Léa Drucker,Olivier Rabourdin,Samuel Kircher",https://www.allocine.fr/film/fichefilm-291612/box-office/,104,,"Drame,Thriller",Catherine Breillat,L'Été dernier
"Didier Bourdon,Hakim Jemili,Camille Lou",https://www.allocine.fr/film/fichefilm-308055/box-office/,101,,Comédie,"Antonin Fourlon,Frédéric Forestier",Chasse gardée
"Juliette Binoche,Benoît Magimel,Emmanuel Salinger",https://www.allocine.fr/film/fichefilm-300959/box-office/,136,,"Drame,Historique,Romance",Tran Anh Hung,La Passion de Dodin Bouffant
